"fechaSen","fechaEjec","accion","precioEjec","regla"
"2014-10-16","2014-10-17","Compra",189.15670999375,"IF Adj.Close.RSI.14 is [-Inf,38.3] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-10-27","2014-10-28","Venta por banda superior",197.0810595075,"IF Williams.R.14 is (-279, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2014-10-28","2014-10-29","Compra",198.4548989975,"IF MFI.14 is [-Inf,45.2] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-11-20","2014-11-21","Venta por banda superior",206.39272101,"IF MFI.14 is (71.4, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2014-11-26","2014-11-28","Compra",207.90847449875,"IF Williams.R.14 is (-376,-298] THEN  is 1; (supportSize=1; laplace=0.666666666666667)"
"2014-12-15","2014-12-16","Venta por banda inferior",199.62967250625,"IF Williams.R.14 is (-279, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2014-12-16","2014-12-17","Compra",200.81578198625,"IF Dif.Aroon.25 is (-33.5,57] THEN  is 1; (supportSize=2; laplace=0.75)"
"2014-12-17","2014-12-18","Venta por banda superior",207.92388700125,"IF Williams.R.14 is (-279, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2014-12-18","2014-12-19","Compra",206.98617650375,"IF Dif.Aroon.25 is (-33.5,57] THEN  is 1; (supportSize=2; laplace=0.75)"
"2015-01-05","2015-01-06","Venta por banda inferior",200.2880259975,"IF Williams.R.14 is (-279, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
"2015-01-06","2015-01-07","Compra",202.3045030075,"IF Dif.Aroon.25 is (-33.5,57] THEN  is 1; (supportSize=2; laplace=0.75)"
"2015-02-19","2015-02-20","Venta por banda superior",209.5049240025,"IF Williams.R.14 is (-279, Inf] THEN  is -1; (supportSize=2; laplace=0.75)"
